time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,epoch,step,time_forward
2.7219772338867188,13.106036186218262,-13.106036186218262,2.8972649574279785,13.106035232543945,-13.106035232543945,0.08221279084682465,0,39,
,13.953595161437988,-13.953595161437988,,,,,1,49,2.3427419662475586
2.734851598739624,12.86363697052002,-12.86363697052002,2.7499682903289795,12.86363697052002,-12.86363697052002,,1,79,
,13.80145263671875,-13.80145263671875,,,,,2,99,2.594897508621216
2.167224884033203,12.650115966796875,-12.650115966796875,2.1889312267303467,12.650116920471191,-12.650116920471191,,2,119,
,13.611417770385742,-13.611417770385742,,,,,3,149,2.112006664276123
3.886414051055908,12.528090476989746,-12.528090476989746,3.87489652633667,12.528090476989746,-12.528090476989746,,3,159,
,13.4282808303833,-13.4282808303833,,,,,4,199,48.812477111816406
7.137751579284668,12.407962799072266,-12.407962799072266,7.04477071762085,12.40796184539795,-12.40796184539795,,4,199,
2.0811080932617188,12.316469192504883,-12.316469192504883,2.09717059135437,12.316468238830566,-12.316468238830566,0.06662123650312424,5,239,
,13.246278762817383,-13.246278762817383,,,,,6,249,2.4910550117492676
2.3283958435058594,12.137640953063965,-12.137640953063965,2.3297603130340576,12.137639999389648,-12.137639999389648,,6,279,
,13.091943740844727,-13.091943740844727,,,,,7,299,1.9308645725250244
2.0820140838623047,11.928729057312012,-11.928729057312012,2.0865588188171387,11.928728103637695,-11.928728103637695,,7,319,
,12.857160568237305,-12.857160568237305,,,,,8,349,1.7087440490722656
2.2332189083099365,11.839509010314941,-11.839509010314941,2.256322145462036,11.839509010314941,-11.839509010314941,,8,359,
,13.193048477172852,-13.193048477172852,,,,,9,399,31.88103485107422
3.6739351749420166,11.787137985229492,-11.787137985229492,3.6462082862854004,11.787137985229492,-11.787137985229492,,9,399,
2.5029659271240234,12.138298034667969,-12.138298034667969,2.5020992755889893,12.138298034667969,-12.138298034667969,0.033597853034734726,10,439,
,12.858280181884766,-12.858280181884766,,,,,11,449,2.1227169036865234
2.601742744445801,11.6676025390625,-11.6676025390625,2.658324718475342,11.667601585388184,-11.667601585388184,,11,479,
,12.639835357666016,-12.639835357666016,,,,,12,499,1.9844155311584473
