time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,epoch,step,time_forward
3.2367467880249023,12.449214935302734,-12.449214935302734,3.233421802520752,12.449213981628418,-12.449213981628418,0.04940613731741905,0,39,
,14.12225341796875,-14.12225341796875,,,,,1,49,1.602573275566101
1.9764423370361328,12.18391227722168,-12.18391227722168,1.982285499572754,12.18391227722168,-12.18391227722168,,1,79,
,13.63624382019043,-13.63624382019043,,,,,2,99,2.102926254272461
4.333209991455078,11.911444664001465,-11.911444664001465,4.320351600646973,11.911443710327148,-11.911443710327148,,2,119,
,13.370542526245117,-13.370542526245117,,,,,3,149,1.9767321348190308
1.6264677047729492,11.798218727111816,-11.798218727111816,1.6364433765411377,11.7982177734375,-11.7982177734375,,3,159,
,13.092597961425781,-13.092597961425781,,,,,4,199,31.89593505859375
1.6520023345947266,11.698580741882324,-11.698580741882324,1.6601539850234985,11.698579788208008,-11.698579788208008,,4,199,
1.8120768070220947,11.68754768371582,-11.68754768371582,1.8254354000091553,11.687546730041504,-11.687546730041504,0.0524849109351635,5,239,
,13.16973876953125,-13.16973876953125,,,,,6,249,1.66380774974823
2.2472620010375977,11.56194019317627,-11.56194019317627,2.277747869491577,11.561939239501953,-11.561939239501953,,6,279,
,13.088438987731934,-13.088438987731934,,,,,7,299,2.352055072784424
2.1839144229888916,11.454008102416992,-11.454008102416992,2.195735454559326,11.454008102416992,-11.454008102416992,,7,319,
,12.957487106323242,-12.957487106323242,,,,,8,349,1.7234123945236206
2.4480819702148438,11.35792350769043,-11.35792350769043,2.4426074028015137,11.35792350769043,-11.35792350769043,,8,359,
,12.846240043640137,-12.846240043640137,,,,,9,399,31.173229217529297
4.150390148162842,11.268643379211426,-11.268643379211426,4.133078575134277,11.268643379211426,-11.268643379211426,,9,399,
4.86602783203125,11.412934303283691,-11.412934303283691,4.812549114227295,11.412933349609375,-11.412933349609375,0.04435565322637558,10,439,
,12.800567626953125,-12.800567626953125,,,,,11,449,1.5958212614059448
2.7772903442382812,11.043971061706543,-11.043971061706543,2.7663521766662598,11.043970108032227,-11.043970108032227,,11,479,
,12.83321475982666,-12.83321475982666,,,,,12,499,3.8535799980163574
2.0464184284210205,10.988554954528809,-10.988554954528809,2.058332920074463,10.988554000854492,-10.988554000854492,,12,519,
,12.570810317993164,-12.570810317993164,,,,,13,549,2.5129411220550537
2.464008331298828,11.056343078613281,-11.056343078613281,2.481759548187256,11.056343078613281,-11.056343078613281,,13,559,
,12.71402359008789,-12.71402359008789,,,,,14,599,45.02013397216797
2.771115303039551,10.918600082397461,-10.918600082397461,2.7639710903167725,10.918600082397461,-10.918600082397461,,14,599,
2.100086212158203,10.829365730285645,-10.829365730285645,2.1114487648010254,10.829365730285645,-10.829365730285645,0.036965563893318176,15,639,
,12.581762313842773,-12.581762313842773,,,,,16,649,2.3951287269592285
2.057027816772461,10.84521770477295,-10.84521770477295,2.0706756114959717,10.845218658447266,-10.845218658447266,,16,679,
,12.448787689208984,-12.448787689208984,,,,,17,699,2.3313331604003906
2.6272778511047363,10.903203964233398,-10.903203964233398,2.619370937347412,10.903203964233398,-10.903203964233398,,17,719,
,12.401384353637695,-12.401384353637695,,,,,18,749,2.416316509246826
3.1178712844848633,10.844748497009277,-10.844748497009277,3.1188793182373047,10.844748497009277,-10.844748497009277,,18,759,
,12.644120216369629,-12.644120216369629,,,,,19,799,46.689064025878906
