time_log_prob,loss,log_prob,val_time_log_prob,val_loss,val_log_prob,val_loss_jacobian_x,epoch,step,time_forward
2.4181368350982666,12.422417640686035,-12.422417640686035,2.463655471801758,12.422415733337402,-12.422415733337402,0.0715743899345398,0,39,
,14.074444770812988,-14.074444770812988,,,,,1,49,1.6586854457855225
2.6679751873016357,12.16870403289795,-12.16870403289795,2.6670475006103516,12.168703079223633,-12.168703079223633,,1,79,
,13.609586715698242,-13.609586715698242,,,,,2,99,21.487707138061523
2.0232436656951904,11.993158340454102,-11.993158340454102,2.048460006713867,11.993159294128418,-11.993159294128418,,2,119,
,13.55097484588623,-13.55097484588623,,,,,3,149,1.7834827899932861
4.0589094161987305,11.768640518188477,-11.768640518188477,4.020071983337402,11.768640518188477,-11.768640518188477,,3,159,
,13.593587875366211,-13.593587875366211,,,,,4,199,56.10287094116211
1.8847702741622925,11.668965339660645,-11.668965339660645,1.9065252542495728,11.668967247009277,-11.668967247009277,,4,199,
3.2124757766723633,11.463105201721191,-11.463105201721191,3.1935904026031494,11.463105201721191,-11.463105201721191,0.07905802130699158,5,239,
,13.087023735046387,-13.087023735046387,,,,,6,249,2.2095627784729004
2.5259971618652344,11.233928680419922,-11.233928680419922,2.5216684341430664,11.233928680419922,-11.233928680419922,,6,279,
,12.745696067810059,-12.745696067810059,,,,,7,299,1.7529819011688232
2.353668451309204,11.037275314331055,-11.037275314331055,2.3739981651306152,11.037274360656738,-11.037274360656738,,7,319,
,12.727696418762207,-12.727696418762207,,,,,8,349,1.9727740287780762
2.1143436431884766,11.215587615966797,-11.215587615966797,2.124481201171875,11.215588569641113,-11.215588569641113,,8,359,
,12.408881187438965,-12.408881187438965,,,,,9,399,33.57976531982422
2.8843164443969727,10.934195518493652,-10.934195518493652,2.8807625770568848,10.934196472167969,-10.934196472167969,,9,399,
4.946898937225342,10.788084030151367,-10.788084030151367,4.892886638641357,10.788084030151367,-10.788084030151367,0.06026570498943329,10,439,
,12.525479316711426,-12.525479316711426,,,,,11,449,2.4107284545898438
2.167797327041626,10.650583267211914,-10.650583267211914,2.1923553943634033,10.650582313537598,-10.650582313537598,,11,479,
,12.30284309387207,-12.30284309387207,,,,,12,499,8.262228012084961
2.846646308898926,10.542330741882324,-10.542330741882324,2.8468549251556396,10.542329788208008,-10.542329788208008,,12,519,
,12.114992141723633,-12.114992141723633,,,,,13,549,2.400949478149414
3.3552167415618896,10.530445098876953,-10.530445098876953,3.5003674030303955,10.53044605255127,-10.53044605255127,,13,559,
,11.729825973510742,-11.729825973510742,,,,,14,599,30.30523681640625
2.4625301361083984,10.447678565979004,-10.447678565979004,2.480144739151001,10.447677612304688,-10.447677612304688,,14,599,
3.988004207611084,10.521637916564941,-10.521637916564941,3.948169231414795,10.521638870239258,-10.521638870239258,0.04684005677700043,15,639,
,12.045613288879395,-12.045613288879395,,,,,16,649,1.5445984601974487
5.248737335205078,10.388840675354004,-10.388840675354004,5.3527512550354,10.388840675354004,-10.388840675354004,,16,679,
,11.91319465637207,-11.91319465637207,,,,,17,699,2.2978055477142334
3.6730761528015137,10.491055488586426,-10.491055488586426,3.645263195037842,10.491055488586426,-10.491055488586426,,17,719,
,12.146137237548828,-12.146137237548828,,,,,18,749,1.8898863792419434
2.6479721069335938,10.30691909790039,-10.30691909790039,2.67899489402771,10.306918144226074,-10.306918144226074,,18,759,
,12.075103759765625,-12.075103759765625,,,,,19,799,153.67567443847656
4.116964340209961,10.24265193939209,-10.24265193939209,4.0977630615234375,10.24265193939209,-10.24265193939209,,19,799,
4.831290245056152,10.22926139831543,-10.22926139831543,5.460054397583008,10.22926139831543,-10.22926139831543,0.06084276735782623,20,839,
,11.967638969421387,-11.967638969421387,,,,,21,849,9.79984188079834
