node_count,graph_type,dataset_idx,true_shifted_nodes,true_function_shifts,true_noise_shifts,nodes_with_parents,fans_shifted_nodes,fans_function_shifts,fans_noise_shifts,fans_error,splitkci_shifted_nodes,splitkci_function_shifts,splitkci_noise_shifts,splitkci_error,prediter_shifted_nodes,prediter_function_shifts,prediter_noise_shifts,prediter_error,iscan_shifted_nodes,iscan_function_shifts,iscan_noise_shifts,iscan_error,linearccp_shifted_nodes,linearccp_function_shifts,linearccp_noise_shifts,linearccp_error,gpr_shifted_nodes,gpr_function_shifts,gpr_noise_shifts,gpr_error,fans_f1_shifted,fans_f1_function,fans_f1_noise,fans_f1_macro,gpr_f1_shifted,gpr_f1_function,gpr_f1_noise,gpr_f1_macro,iscan_f1_shifted,iscan_f1_function,iscan_f1_noise,iscan_f1_macro,linearccp_f1_shifted,linearccp_f1_function,linearccp_f1_noise,linearccp_f1_macro,splitkci_f1_shifted,splitkci_f1_function,splitkci_f1_noise,prediter_f1_shifted,prediter_f1_function,prediter_f1_noise
10,ER,1,"[6, 9]",[6],[9],"[5, 6, 7, 8, 9]","[6, 7, 9]",[6],[9],,"[5, 6, 8]",[],[],,[6],[],[],,"[6, 9]","[6, 9]",[],,"[6, 9]","[6, 9]",[],,"[6, 9]",[6],[9],,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.3333333333333333,0.4,,,0.6666666666666666,,
10,ER,2,"[5, 9]",[9],[5],"[2, 4, 5, 6, 7, 9]","[5, 9]","[5, 9]",[],,"[2, 4, 5, 7]",[],[],,[5],[],[],,"[4, 5]","[5, 9]",[],,"[5, 6, 9]",[9],[5],,"[5, 9]",[9],[5],,1.0,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.0,0.3333333333333333,0.8,1.0,1.0,1.0,0.3333333333333333,,,0.6666666666666666,,
10,ER,3,"[2, 5]",[2],[5],"[2, 3, 5, 6, 8, 9]","[2, 5, 8, 9]","[2, 5]",[],,"[2, 5, 8, 9]",[],[],,"[2, 5]",[],[],,"[2, 5, 6]","[2, 5]",[],,"[2, 5, 6, 8, 9]",[2],[5],,"[2, 5]",[2],[5],,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.0,0.3333333333333333,0.5714285714285715,1.0,1.0,1.0,0.6666666666666666,,,1.0,,
10,ER,4,"[5, 6]",[6],[5],"[2, 5, 6, 7, 8, 9]","[5, 6, 9]",[6],[5],,[],[],[],,"[5, 6]",[],[],,"[2, 5, 6, 9]",[6],[5],,"[5, 6, 8, 9]",[6],[5],,"[5, 6]",[6],[5],,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,,,1.0,,
10,ER,5,"[4, 6]",[6],[4],"[3, 4, 5, 6, 7, 9]","[4, 6, 9]","[4, 6]",[],,"[3, 5, 6, 9]",[],[],,"[4, 6]",[],[],,[],[6],[4],,"[4, 5, 6, 9]",[6],[4],,"[4, 6]","[4, 6]",[],,0.8,0.6666666666666666,0.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,,,1.0,,
10,ER,6,"[4, 5]",[5],[4],"[3, 4, 5, 6, 8, 9]","[4, 5, 6, 8, 9]","[4, 5]",[],,"[4, 5]",[],[],,"[4, 5]",[],[],,[8],"[4, 5]",[],,"[4, 5, 6, 8, 9]",[5],[4],,"[4, 5]",[5],[4],,0.5714285714285715,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.5714285714285715,1.0,1.0,1.0,1.0,,,1.0,,
10,ER,7,"[6, 8]",[6],[8],"[4, 5, 6, 7, 8]","[6, 8]","[6, 8]",[],,"[6, 7, 8]",[],[],,[6],[],[],,"[5, 7, 8]","[6, 8]",[],,"[6, 8]",[6],[8],,"[6, 8]",[6],[8],,1.0,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.4,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.8,,,0.6666666666666666,,
10,ER,8,"[7, 8]",[7],[8],"[3, 5, 6, 7, 8, 9]","[7, 8, 9]","[7, 8]",[],,"[6, 8]",[],[],,[8],[],[],,"[3, 6, 7, 8]","[7, 8]",[],,"[7, 8]",[8],[7],,"[7, 8]",[7],[8],,0.8,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.5,,,0.6666666666666666,,
10,ER,9,"[5, 8]",[5],[8],"[3, 4, 5, 6, 7, 8, 9]","[5, 6, 8, 9]","[5, 8]",[],,"[3, 4, 5, 7, 8, 9]",[],[],,"[5, 8]",[],[],,"[3, 6, 7, 8, 9]","[5, 8]",[],,"[5, 6, 8, 9]","[5, 8]",[],,"[5, 8]",[5],[8],,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.28571428571428575,0.6666666666666666,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.5,,,1.0,,
10,ER,10,"[5, 7]",[5],[7],"[2, 4, 5, 6, 7, 8, 9]","[5, 6, 7]","[5, 7]",[],,"[2, 4, 8, 9]",[],[],,"[5, 7]",[],[],,"[4, 7, 9]",[5],[7],,"[5, 6, 7]","[5, 7]",[],,"[5, 7]",[5],[7],,0.8,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.8,0.6666666666666666,0.0,0.3333333333333333,0.0,,,1.0,,
